name,url,px,py,pz,yaw,pitch,mesh
Voidbox HQ 2,https://ganpin-s3-test-bucket-175558635958-ap-northeast-1-an.s3.ap-northeast-1.amazonaws.com/voidbox_hq_interior_jh/voidbox_hq_interior_jh/voidbox3%EC%B8%B5.lcc,-5.54,-0.27,-8.08,-152.3,0.5,https://ganpin-s3-test-bucket-175558635958-ap-northeast-1-an.s3.ap-northeast-1.amazonaws.com/voidbox_hq_interior_jh/mesh-files/voidbox3%EC%B8%B5.obj
이정헌 집,https://ganpin-s3-test-bucket-175558635958-ap-northeast-1-an.s3.ap-northeast-1.amazonaws.com/one-room-interior/one-room-interior.lcc,-0.02,-0.18,0.90,8.1,-9.4,
