scene_match,trigger_px,trigger_py,trigger_pz,radius,marker_y,dest_url,dest_px,dest_py,dest_pz,dest_yaw,dest_pitch,label
this_is_my_first_test,-5.21,0.88,-36.76,3.0,-1.5,https://ganpin-s3-test-bucket-175558635958-ap-northeast-1-an.s3.ap-northeast-1.amazonaws.com/daerim_alley/daerim_alley.lcc,-19.86,1.39,-147.42,-171.5,1.2,대림동 Voidbox 주변 거리로 이동하기
daerim_alley,-19.86,1.39,-147.42,3.0,-1.5,https://ganpin-s3-test-bucket-175558635958-ap-northeast-1-an.s3.ap-northeast-1.amazonaws.com/voidbox_hq_exterior/this_is_my_first_test.lcc,-5.21,0.88,-36.76,0,0,대림동 버스 정류장으로 이동하기
